G63#5 Bed#380500#0#0.0
G66#5 Bed#381666#0#0.0
G68#5 Bed#467374#0#0.0
G71#5 Bed#471398#0#0.0
G72#5 Bed#286599#0#0.0
G73#5 Bed#432000#0#0.0
G74#5 Bed#499455#0#0.0
G75#5 Bed#331000#0#0.0
G77#5 Bed#598500#0#0.0
G78#5 Bed#311368#0#0.0
G83#5 Bed#330000#0#0.0
GL10#5 Bed#677856#0#0.0
GL11#5 Bed#550666#0#0.0
GL13#5 Bed#422500#0#0.0
GL14#5 Bed#510333#0#0.0
GL17#5 Bed#475684#0#0.0
GL18#5 Bed#761666#0#0.0
GL19#5 Bed#618564#0#0.0
GL2#5 Bed#521592#0#0.0
GL20#5 Bed#601374#0#0.0
GL3#5 Bed#542143#0#0.0
GL4#5 Bed#517912#0#0.0
GL54#5 Bed#704995#0#0.0
GL55#5 Bed#1056667#0#0.0
GL8#5 Bed#631667#0#0.0
GL9#5 Bed#649000#0#0.0
GU11#5 Bed#425000#0#0.0
GU12#5 Bed#705000#0#0.0
GU18#5 Bed#804306#0#0.0
GU23#5 Bed#945625#0#0.0
GU26#5 Bed#870000#0#0.0
GU28#5 Bed#550000#0#0.0
GU3#5 Bed#1395000#0#0.0
GU31#5 Bed#915738#0#0.0
GU33#5 Bed#1252375#0#0.0
GU35#5 Bed#802299#0#0.0
GU46#5 Bed#845000#0#0.0
GU47#5 Bed#775828#0#0.0
GU6#5 Bed#1123462#0#0.0
GU8#5 Bed#1654857#0#0.0
HD4#5 Bed#623557#0#0.0
HD6#5 Bed#373744#0#0.0
HD7#5 Bed#437856#0#0.0
HD9#5 Bed#674889#0#0.0
HG1#5 Bed#587661#0#0.0
HG4#5 Bed#532784#0#0.0
HG5#5 Bed#683875#0#0.0
HP14#5 Bed#1203571#0#0.0
HP19#5 Bed#462806#0#0.0
HP21#5 Bed#630714#0#0.0
HP5#5 Bed#915765#0#0.0
HP7#5 Bed#1825000#0#0.0
HR1#5 Bed#662141#0#0.0
HR3#5 Bed#532500#0#0.0
HR5#5 Bed#462500#0#0.0
HR6#5 Bed#650000#0#0.0
HR8#5 Bed#693500#0#0.0
HR9#5 Bed#567439#0#0.0
HU1#5 Bed#282500#0#0.0
HU10#5 Bed#437857#0#0.0
HU11#5 Bed#366667#0#0.0
HU12#5 Bed#405660#0#0.0
HU14#5 Bed#480000#0#0.0
HU15#5 Bed#493000#0#0.0
HU16#5 Bed#399362#0#0.0
HU18#5 Bed#212475#0#0.0
HU7#5 Bed#262217#0#0.0
HU8#5 Bed#220000#0#0.0
HU9#5 Bed#230965#0#0.0
HX1#5 Bed#211800#0#0.0
HX2#5 Bed#465000#0#0.0
HX3#5 Bed#484257#0#0.0
HX4#5 Bed#533333#0#0.0
HX5#5 Bed#220000#0#0.0
HX6#5 Bed#545000#0#0.0
HX7#5 Bed#499222#0#0.0
IG5#5 Bed#655730#0#0.0
IP1#5 Bed#523999#0#0.0
IP10#5 Bed#550000#0#0.0
IP11#5 Bed#416106#0#0.0
IP12#5 Bed#430000#0#0.0
IP13#5 Bed#811248#0#0.0
IP14#5 Bed#621071#0#0.0
IP17#5 Bed#737500#0#0.0
IP18#5 Bed#825000#0#0.0
IP19#5 Bed#685000#0#0.0
IP20#5 Bed#375000#0#0.0
IP21#5 Bed#481250#0#0.0
IP22#5 Bed#607268#0#0.0
IP24#5 Bed#316667#0#0.0
IP30#5 Bed#947500#0#0.0
IP33#5 Bed#835000#0#0.0
IP5#5 Bed#434332#0#0.0
IP6#5 Bed#662799#0#0.0
IP7#5 Bed#627143#0#0.0
IP8#5 Bed#715000#0#0.0
IP9#5 Bed#518333#0#0.0
IV10#5 Bed#372500#0#0.0
IV12#5 Bed#290500#0#0.0
IV16#5 Bed#184998#0#0.0
IV19#5 Bed#424000#0#0.0
IV27#5 Bed#500000#0#0.0
IV30#5 Bed#319463#0#0.0
IV31#5 Bed#272000#0#0.0
IV32#5 Bed#293333#0#0.0
IV36#5 Bed#336350#0#0.0
IV7#5 Bed#350000#0#0.0
KA1#5 Bed#328428#0#0.0
KA10#5 Bed#414045#0#0.0
KA11#5 Bed#289250#0#0.0
KA12#5 Bed#210000#0#0.0
KA15#5 Bed#230194#0#0.0
KA18#5 Bed#253570#0#0.0
KA2#5 Bed#286665#0#0.0
KA22#5 Bed#270000#0#0.0
KA23#5 Bed#317500#0#0.0
KA26#5 Bed#149750#0#0.0
KA3#5 Bed#292714#0#0.0
KA30#5 Bed#378333#0#0.0
KA4#5 Bed#575000#0#0.0
KA5#5 Bed#190000#0#0.0
KA6#5 Bed#313571#0#0.0
KA7#5 Bed#401429#0#0.0
KT18#5 Bed#1217273#0#0.0
KT9#5 Bed#537475#0#0.0
KW14#5 Bed#227500#0#0.0
KY1#5 Bed#385625#0#0.0
KY10#5 Bed#313790#0#0.0
KY11#5 Bed#342237#0#0.0
KY12#5 Bed#346927#0#0.0
KY13#5 Bed#501915#0#0.0
KY15#5 Bed#365333#0#0.0
KY16#5 Bed#530000#0#0.0
KY2#5 Bed#237798#0#0.0
KY3#5 Bed#413325#0#0.0
KY4#5 Bed#275000#0#0.0
KY6#5 Bed#284998#0#0.0
KY7#5 Bed#316749#0#0.0
KY8#5 Bed#303204#0#0.0
L1#5 Bed#650000#0#0.0
L10#5 Bed#286667#0#0.0
L11#5 Bed#229995#0#0.0
L12#5 Bed#447398#0#0.0
L19#5 Bed#446244#347#0.0
L20#5 Bed#155000#0#0.0
L21#5 Bed#183325#0#0.0
L22#5 Bed#230000#0#0.0
L24#5 Bed#517500#0#0.0
L25#5 Bed#790714#0#0.0
L26#5 Bed#315000#0#0.0
L3#5 Bed#0#509#0.0
L30#5 Bed#299950#0#0.0
L31#5 Bed#442052#0#0.0
L32#5 Bed#266250#0#0.0
L33#5 Bed#150000#0#0.0
L34#5 Bed#386000#0#0.0
L35#5 Bed#434214#0#0.0
L38#5 Bed#783300#0#0.0
L4#5 Bed#129950#0#0.0
L5#5 Bed#0#2123#0.0
LA11#5 Bed#451429#0#0.0
LA13#5 Bed#370772#0#0.0
LA15#5 Bed#380817#0#0.0
LA16#5 Bed#432500#0#0.0
LA17#5 Bed#450000#0#0.0
LA18#5 Bed#562500#0#0.0
LA19#5 Bed#347498#0#0.0
LA2#5 Bed#508600#0#0.0
LA23#5 Bed#395000#0#0.0
LA3#5 Bed#161791#0#0.0
LA4#5 Bed#197702#0#0.0
LA5#5 Bed#650750#0#0.0
LA6#5 Bed#555035#0#0.0
LA7#5 Bed#636429#0#0.0
LA9#5 Bed#465764#0#0.0
LD1#5 Bed#273167#0#0.0
LD3#5 Bed#333700#0#0.0
LE1#5 Bed#647000#505#0.0
LE10#5 Bed#521832#0#0.0
LE13#5 Bed#325000#0#0.0
LE14#5 Bed#625000#0#0.0
LE16#5 Bed#542856#0#0.0
LE18#5 Bed#363750#0#0.0
LE6#5 Bed#440825#0#0.0
LE65#5 Bed#553498#0#0.0
LE67#5 Bed#470489#0#0.0
LE8#5 Bed#573333#0#0.0
LL11#5 Bed#416666#347#0.0
LL12#5 Bed#870000#0#0.0
LL13#5 Bed#324158#0#0.0
LL15#5 Bed#412500#0#0.0
LL16#5 Bed#500000#0#0.0
LL21#5 Bed#356667#0#0.0
LL22#5 Bed#320769#0#0.0
LL26#5 Bed#365000#0#0.0
LL28#5 Bed#424833#0#0.0
LL29#5 Bed#344838#0#0.0
LL30#5 Bed#346333#0#0.0
LL31#5 Bed#135000#0#0.0
LL32#5 Bed#390900#0#0.0
LL35#5 Bed#641111#0#0.0
LL40#5 Bed#675000#0#0.0
LL41#5 Bed#403750#0#0.0
LL46#5 Bed#364625#0#0.0
LL53#5 Bed#677919#0#0.0
LL54#5 Bed#363750#0#0.0
LL55#5 Bed#304433#0#0.0
LL57#5 Bed#271165#0#0.0
LL59#5 Bed#575000#0#0.0
LL65#5 Bed#346111#0#0.0
LL70#5 Bed#550000#0#0.0
LL71#5 Bed#375000#0#0.0
LN12#5 Bed#140000#0#0.0
LN13#5 Bed#375000#0#0.0
LN2#5 Bed#448733#362#0.0
LN3#5 Bed#342500#0#0.0
LN4#5 Bed#443518#0#0.0
LN7#5 Bed#388167#0#0.0
LN8#5 Bed#323993#0#0.0
LS10#5 Bed#346988#0#0.0
LS11#5 Bed#120000#0#0.0
LS12#5 Bed#247855#0#0.0
LS13#5 Bed#485000#0#0.0
LS14#5 Bed#690000#0#0.0
LS15#5 Bed#429998#0#0.0
LS19#5 Bed#507132#0#0.0
LS21#5 Bed#697500#0#0.0
LS22#5 Bed#376238#0#0.0
LS23#5 Bed#786663#0#0.0
LS25#5 Bed#409811#0#0.0
LS26#5 Bed#467856#0#0.0
LS27#5 Bed#479000#0#0.0
LS28#5 Bed#473181#0#0.0
LS29#5 Bed#792836#0#0.0
LS3#5 Bed#0#1625#0.0
LS8#5 Bed#373561#0#0.0
M12#5 Bed#220000#0#0.0
M16#5 Bed#367500#0#0.0
M18#5 Bed#199950#0#0.0
M21#5 Bed#445000#0#0.0
M22#5 Bed#460000#351#0.0
M23#5 Bed#0#1196#0.0
M24#5 Bed#372492#0#0.0
M25#5 Bed#585992#0#0.0
M26#5 Bed#310000#0#0.0
M27#5 Bed#298333#0#0.0
M30#5 Bed#440000#0#0.0
M33#5 Bed#578333#0#0.0
M34#5 Bed#274990#0#0.0
M38#5 Bed#150000#0#0.0
M41#5 Bed#502496#0#0.0
M43#5 Bed#222500#0#0.0
M44#5 Bed#149000#0#0.0
M46#5 Bed#383333#0#0.0
M9#5 Bed#177500#0#0.0
ME1#5 Bed#643292#0#0.0
ME10#5 Bed#394286#0#0.0
ME12#5 Bed#494442#0#0.0
ME13#5 Bed#567167#0#0.0
ME14#5 Bed#674389#0#0.0
ME16#5 Bed#552443#0#0.0
ME18#5 Bed#930000#0#0.0
ME19#5 Bed#762877#0#0.0
ME20#5 Bed#670000#0#0.0
ME4#5 Bed#509428#0#0.0
ME5#5 Bed#503125#0#0.0
ME6#5 Bed#500000#0#0.0
