EX39#2 Bed#145421#685#5.0
FK1#2 Bed#101220#464#5.0
FK10#2 Bed#95976#472#5.0
FK5#2 Bed#135397#592#5.0
FY3#2 Bed#107654#535#5.0
FY5#2 Bed#134400#604#5.0
FY6#2 Bed#140498#603#5.0
G20#2 Bed#143750#702#5.0
G61#2 Bed#195500#897#5.0
G71#2 Bed#120199#574#5.0
GL1#2 Bed#145729#627#5.0
GL13#2 Bed#158090#693#5.0
GL17#2 Bed#176592#764#5.0
GL54#2 Bed#181546#869#5.0
GL7#2 Bed#214789#952#5.0
GU10#2 Bed#418494#1933#5.0
GU19#2 Bed#322217#1352#5.0
GU3#2 Bed#266876#1148#5.0
GU51#2 Bed#296604#1243#5.0
GU6#2 Bed#313801#1499#5.0
HD3#2 Bed#113924#516#5.0
HD4#2 Bed#112495#524#5.0
HD5#2 Bed#118912#557#5.0
HP7#2 Bed#441494#1898#5.0
HU13#2 Bed#132290#571#5.0
HU19#2 Bed#86054#388#5.0
HU6#2 Bed#99363#492#5.0
HU7#2 Bed#110742#521#5.0
HX3#2 Bed#115945#531#5.0
IG1#2 Bed#304273#1345#5.0
IG2#2 Bed#325750#1363#5.0
IP16#2 Bed#221650#1102#5.0
IP25#2 Bed#188179#832#5.0
IP27#2 Bed#180248#866#5.0
IP28#2 Bed#192722#931#5.0
IP4#2 Bed#178765#757#5.0
IV31#2 Bed#130167#576#5.0
IV36#2 Bed#130444#575#5.0
KT16#2 Bed#323595#1454#5.0
KY16#2 Bed#204369#853#5.0
KY4#2 Bed#109356#477#5.0
L12#2 Bed#132572#564#5.0
L18#2 Bed#154975#672#5.0
L21#2 Bed#99954#468#5.0
L3#2 Bed#159093#729#5.0
L34#2 Bed#116308#533#5.0
L40#2 Bed#183612#849#5.0
LA1#2 Bed#127885#556#5.0
LA13#2 Bed#104341#507#5.0
LA16#2 Bed#129862#598#5.0
LA18#2 Bed#88675#425#5.0
LA23#2 Bed#177044#849#5.0
LA3#2 Bed#102214#485#5.0
LL11#2 Bed#119862#584#5.0
LL12#2 Bed#157358#663#5.0
LL13#2 Bed#114239#512#5.0
LL14#2 Bed#115947#520#5.0
LL22#2 Bed#130324#567#5.0
LL32#2 Bed#137620#594#5.0
LL35#2 Bed#115211#529#5.0
LL65#2 Bed#109477#494#5.0
LN10#2 Bed#124988#524#5.0
LN12#2 Bed#107895#526#5.0
LN2#2 Bed#131895#558#5.0
LN5#2 Bed#110846#533#5.0
LS13#2 Bed#144590#624#5.0
LS4#2 Bed#167500#744#5.0
LS8#2 Bed#122626#583#5.0
M11#2 Bed#101536#498#5.0
M16#2 Bed#166000#823#5.0
M22#2 Bed#177493#750#5.0
M23#2 Bed#143300#693#5.0
M26#2 Bed#113264#554#5.0
M30#2 Bed#139318#681#5.0
M34#2 Bed#138396#614#5.0
M35#2 Bed#137869#682#5.0
M43#2 Bed#134949#600#5.0
M7#2 Bed#149989#701#5.0
ME18#2 Bed#233286#1023#5.0
ME20#2 Bed#249134#1101#5.0
ME4#2 Bed#175845#810#5.0
ME5#2 Bed#209596#879#5.0
MK10#2 Bed#209000#912#5.0
MK12#2 Bed#227500#973#5.0
MK15#2 Bed#224612#1075#5.0
MK43#2 Bed#225174#982#5.0
MK6#2 Bed#193999#813#5.0
ML11#2 Bed#102785#445#5.0
NE10#2 Bed#113558#544#5.0
NE11#2 Bed#113599#545#5.0
NE12#2 Bed#129222#566#5.0
NE15#2 Bed#107601#519#5.0
NE16#2 Bed#122436#579#5.0
NE21#2 Bed#102457#511#5.0
